编号,经度,纬度,所属行政区,维护联系人,联系人联系方式,联系人所属部门,监控点名称,使用部门,公安业务,摄像机类型,应用场所,分辨率,是否有拾音器,监控点方向,是否有PTZ,安装位置,是否启用,建设类型,初装日期,监控点描述,制造商,监控点型号,接入汇接点名称,汇接点负责人,监控点IP,位置类型,所属行业,警种,使用性质,监控点所属设备名称,监控点主要作用,标注更新日期,标注更新人,20位编码,32位编码,监控点被访问次数,监控点通道号
1,,,,,,,34362402:1,,,,,,否,,否,,启用,,,,GB_kedacom,,,,34.36.24.2,室内,,,,34362402,,,,,55000000000000000011200223300000,0,0
2,117.02682,33.63012,,,,,CD01三期303省道沱河中学对面看北校门口:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.24.1,室内,,,,CD01三期303省道沱河中学对面看北校门口,,,,,55040000000000000011200023100000,0,0
3,,,,,,,test23:1,,,,,,否,,否,,启用,,,,GB_kedacom,,,,34.36.18.24,室内,,,,test24,,,,,55000000000000000011200223100000,0,0
4,117.05325,33.56702,,,,,JH051金泰五路惠丰新能源门前北侧看南惠丰大门（球）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.51,室内,,,,JH051金泰五路惠丰新能源门前北侧看南惠丰大门（球）,,,,,55010000000000000011200051100000,0,0
5,117.05325,33.56702,,,,,JH050金泰五路惠丰新能源门前北侧绿化带看南路面:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.50,室内,,,,JH050金泰五路惠丰新能源门前北侧绿化带看南路面,,,,,55010000000000000011200051000000,0,0
6,116.9668,33.63348,,,,,XG88汴河路盛景大厦门前绿化带看东:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.6.88,室内,,,,XG88汴河路盛景大厦门前绿化带看东,,,,,55020000000000000011200042800000,0,0
7,116.9668,33.63348,,,,,XG87汴河路盛景大厦门前绿化带看西:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.6.87,室内,,,,XG87汴河路盛景大厦门前绿化带看西,,,,,55020000000000000011200042700000,0,0
8,116.96332,33.65099,,,,,XG26人民路与胜利路交口东150米路南中天逸居家居门口看东:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.6.36,室内,,,,XG036人民路与胜利路交口东150米路南中天逸居家居门口看东,,,,,55020000000000000011200042600000,0,0
9,116.96391,33.6483,,,,,XG22银河绿苑南区进门左手边墙上看看北广场:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.6.22,室内,,,,XG22银河绿苑南区进门左手边墙上看看北广场,,,,,55020000000000000011200042500000,0,0
10,116.96391,33.6483,,,,,XG21银河绿苑南区进门左手边墙上看南大门:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.6.21,室内,,,,XG21银河绿苑南区进门左手边墙上看南大门,,,,,55020000000000000011200042400000,0,0
